Date,cases,deaths,hospitalized,icu
21/02/2020,0,,,
22/02/2020,0,,,
23/02/2020,0,,,
24/02/2020,0,,,
25/02/2020,0,,,
26/02/2020,1,,,
27/02/2020,5,,,
28/02/2020,9,,,
29/02/2020,19,,,
1/03/2020,26,,,
2/03/2020,51,,,
3/03/2020,93,0,,
4/03/2020,139,0,,
5/03/2020,193,1,,
6/03/2020,305,2,,
7/03/2020,508,4,,
8/03/2020,729,8,,
9/03/2020,992,16,,
10/03/2020,1495,21,,
11/03/2020,2198,31,,
12/03/2020,2922,56,,
13/03/2020,3705,81,,
14/03/2020,4645,86,,
15/03/2020,5544,213,,
16/03/2020,6356,213,,
17/03/2020,7615,355,,
18/03/2020,9561,390,,
19/03/2020,11309,498,,
20/03/2020,13353,628,7388,767
21/03/2020,15676,804,8441,834
22/03/2020,17346,1021,9561,942
23/03/2020,18848,1263,10443,1050
24/03/2020,21516,1535,11153,1150
25/03/2020,24404,1825,12440,1221
26/03/2020,27344,2090,13580,1312
27/03/2020,30711,2412,14211,1404
28/03/2020,33068,2757,14454,1429
29/03/2020,34087,3082,14917,1460
30/03/2020,34959,3392,15140,1514
31/03/2020,37504,3603,15227,1514
1/04/2020,39303,3865,15227,1528
2/04/2020,41075,4175,15050,1506
3/04/2020,42896,4483,14741,1498
4/04/2020,44613,4723,14551,1499
5/04/2020,45496,4941,14501,1510
6/04/2020,46016,5136,13950,1494
7/04/2020,47568,5371,13289,1450
8/04/2020,48945,5586,12853,1433
9/04/2020,50357,5800,12432,1399
10/04/2020,51296,5972,11894,1376
11/04/2020,52146,6084,11424,1332
12/04/2020,52680,6278,11233,1327
13/04/2020,53017,6423,10753,1299
14/04/2020,53988,6568,10116,1244
15/04/2020,55062,6724,9653,1206
16/04/2020,55959,6877,9141,1154
17/04/2020,56792,7007,8598,1094
18/04/2020,57598,7132,8291,1123
19/04/2020,60558,7239,8191,1111
20/04/2020,60952,7351,7930,1076
21/04/2020,61568,7460,7464,1024
22/04/2020,62440,7577,7077,981
23/04/2020,63558,7684,6601,949
24/04/2020,64120,7765,6183,892
25/04/2020,64785,7848,5892,873
26/04/2020,65015,7922,4965,855
27/04/2020,65477,7986,4669,815
28/04/2020,66241,8048,4398,773
29/04/2020,66884,8105,4218,727
30/04/2020,67332,8176,3840,706
1/05/2020,67714,8222,3589,681
2/05/2020,67830,8292,3547,674
3/05/2020,67947,8332,3568,660
4/05/2020,68056,8376,3463,640
5/05/2020,68447,8420,3292,610
6/05/2020,68745,8466,2978,582
7/05/2020,69110,8504,2806,537
8/05/2020,69323,8552,2629,502
9/05/2020,69566,8598,2450,465
10/05/2020,69697,8644,2437,452
11/05/2020,69730,8683,2357,431
12/05/2020,65269,8760,2244,405
13/05/2020,65693,8779,2076,396
14/05/2020,66005,8809,1927,358
15/05/2020,66210,8826,1825,348
16/05/2020,66238,8847,1767,335
17/05/2020,66302,8863,1760,341
18/05/2020,66643,8894,1700,318
19/05/2020,66860,8912,1579,300
20/05/2020,67049,8931,1464,277
21/05/2020,67425,8944,1355,267
22/05/2020,67610,8956,1247,257
23/05/2020,67871,8977,1180,243
24/05/2020,68060,8994,1158,236
25/05/2020,68284,9015,1117,232
26/05/2020,68505,9035,1052,212
27/05/2020,68696,9042,1004,200
28/05/2020,68984,9049,937,187
29/05/2020,69181,9057,857,176
30/05/2020,69275,9064,841,174
