Province_State,Confirmed,Hospital_in_home,Hospitalised,ICU,Ventilated,Total_Hospitalised,Deaths,Recovered,Date
NSW,3,,,,,,,,25/01/2020
NSW,4,,,,,,0,,26/01/2020
NSW,4,,,,,,0,,27/01/2020
NSW,4,,,,,,0,,28/01/2020
NSW,4,,,,,,0,,29/01/2020
NSW,4,,,,,,0,,30/01/2020
NSW,4,,,,,,0,,31/01/2020
NSW,4,,,,,,0,,1/02/2020
NSW,4,,,,,,0,,2/02/2020
NSW,4,,,,,,0,,3/02/2020
NSW,4,,,,,,0,,4/02/2020
NSW,4,,,,,,0,,5/02/2020
NSW,4,,,,,,0,,6/02/2020
NSW,4,,,,,,0,,7/02/2020
NSW,4,,,,,,0,,8/02/2020
NSW,4,,,,,,0,,9/02/2020
NSW,4,,,,,,0,,10/02/2020
NSW,4,,,,,,0,,11/02/2020
NSW,4,,,,,,0,,12/02/2020
NSW,4,,,,,,0,,13/02/2020
NSW,4,,,,,,0,,14/02/2020
NSW,4,,,,,,0,,15/02/2020
NSW,4,,,,,,0,,16/02/2020
NSW,4,,,,,,0,,17/02/2020
NSW,4,,,,,,0,,18/02/2020
NSW,4,,,,,,0,,19/02/2020
NSW,4,,,,,,0,,20/02/2020
NSW,4,,,,,,0,,21/02/2020
NSW,4,,,,,,0,,22/02/2020
NSW,4,,,,,,0,,23/02/2020
NSW,4,,,,,,0,,24/02/2020
NSW,4,,,,,,0,,25/02/2020
NSW,4,,,,,,0,,26/02/2020
NSW,4,,,,,,0,,27/02/2020
NSW,4,,,,,,0,,28/02/2020
NSW,6,,,,,,0,,29/02/2020
NSW,6,,,,,,0,,1/03/2020
NSW,13,,,,,,0,,2/03/2020
NSW,22,,,,,,0,,3/03/2020
NSW,22,,,,,,1,,4/03/2020
NSW,26,,,,,,1,,5/03/2020
NSW,28,,,,,,1,,6/03/2020
NSW,38,,,,,,1,,7/03/2020
NSW,48,,,,,,2,,8/03/2020
NSW,55,,,,,,2,,9/03/2020
NSW,65,,,,,,2,,10/03/2020
NSW,78,,,,,,2,,11/03/2020
NSW,92,,,,,,2,,12/03/2020
NSW,112,,,,,,2,,13/03/2020
NSW,134,,,,,,2,,14/03/2020
NSW,171,,,,,,2,,15/03/2020
NSW,210,,,,,,2,,16/03/2020
