ld,Confirmed,Hospitalised,ICU,Ventilated,Deaths,Recovered,Date
Qld,0,,,,0,,25/01/2020
Qld,0,,,,0,,26/01/2020
Qld,0,,,,0,,27/01/2020
Qld,1,,,,0,,28/01/2020
Qld,3,,,,0,,29/01/2020
Qld,2,,,,0,,30/01/2020
Qld,3,,,,0,,31/01/2020
Qld,2,,,,0,,1/02/2020
Qld,2,,,,0,,2/02/2020
Qld,3,,,,0,,3/02/2020
Qld,3,,,,0,,4/02/2020
Qld,4,,,,0,,5/02/2020
Qld,5,,,,0,,6/02/2020
Qld,5,,,,0,,7/02/2020
Qld,5,,,,0,,8/02/2020
Qld,5,,,,0,,9/02/2020
Qld,5,,,,0,,10/02/2020
Qld,5,,,,0,,11/02/2020
Qld,5,,,,0,,12/02/2020
Qld,5,,,,0,,13/02/2020
Qld,5,,,,0,,14/02/2020
Qld,5,,,,0,,15/02/2020
Qld,5,,,,0,,16/02/2020
Qld,5,,,,0,,17/02/2020
Qld,5,,,,0,,18/02/2020
Qld,5,,,,0,,19/02/2020
Qld,5,,,,0,,20/02/2020
Qld,5,,,,0,,21/02/2020
Qld,5,,,,0,,22/02/2020
Qld,5,,,,0,,23/02/2020
Qld,5,,,,0,,24/02/2020
Qld,5,,,,0,,25/02/2020
Qld,5,,,,0,,26/02/2020
Qld,5,,,,0,,27/02/2020
Qld,9,,,,0,,28/02/2020
Qld,9,,,,0,,29/02/2020
Qld,9,,,,0,,1/03/2020
Qld,11,,,,0,,2/03/2020
Qld,11,,,,0,,3/03/2020
Qld,13,,,,0,,4/03/2020
Qld,13,,,,0,,5/03/2020
Qld,13,,,,0,,6/03/2020
Qld,15,,,,0,,7/03/2020
Qld,15,,,,0,,8/03/2020
Qld,18,,,,0,,9/03/2020
Qld,20,,,,0,,10/03/2020
Qld,20,,,,0,,11/03/2020
Qld,35,,,,0,,12/03/2020
Qld,46,,,,0,,13/03/2020
Qld,61,,,,0,,14/03/2020
Qld,68,,,,0,,15/03/2020
Qld,78,,,,0,,16/03/2020
Qld,94,,,,0,,17/03/2020
Qld,144,,,,0,,18/03/2020
Qld,184,,,,0,,19/03/2020
Qld,221,,,,0,,20/03/2020
Qld,259,,,,0,,21/03/2020
Qld,319,,,,0,,22/03/2020
Qld,397,,,,0,,23/03/2020
Qld,443,,,,1,,24/03/2020
Qld,493,,,,1,,25/03/2020
Qld,555,,,,1,,26/03/2020
Qld,625,66,3,,2,,27/03/2020
Qld,656,57,3,,3,,28/03/2020
Qld,689,,7,5,3,,29/03/2020
Qld,743,65,7,,3,,30/03/2020
Qld,781,,,,3,,31/03/2020
Qld,835,60,9,,4,,1/04/2020
Qld,873,,,,4,,2/04/2020
Qld,900,56,8,6,4,,3/04/2020
Qld,907,,,,4,,4/04/2020
Qld,921,43,12,10,5,,5/04/2020
Qld,934,42,13,11,5,,6/04/2020
Qld,943,35,11,11,5,,7/04/2020
Qld,953,33,,,5,,8/04/2020
Qld,965,33,12,12,5,368,9/04/2020
Qld,974,28,12,12,5,,10/04/2020
Qld,980,,12,,5,,11/04/2020
Qld,987,23,11,11,5,442,12/04/2020
Qld,994,24,11,11,5,,13/04/2020
Qld,996,23,11,10,5,,14/04/2020
Qld,1001,21,11,,5,,15/04/2020
Qld,1007,19,11,9,5,,16/04/2020
Qld,1014,22,9,7,6,738,17/04/2020
Qld,1019,22,8,,6,,18/04/2020
Qld,1019,20,7,,6,,19/04/2020
Qld,1024,21,7,5,6,,20/04/2020
Qld,1024,20,7,,6,,21/04/2020
Qld,1024,20,7,,6,,22/04/2020
Qld,1025,18,6,,6,,23/04/2020
Qld,1027,18,6,,6,803,24/04/2020
Qld,1030,18,6,,6,926,25/04/2020
Qld,1033,15,6,,6,,26/04/2020
Qld,1033,14,6,,6,934,27/04/2020
Qld,1033,12,6,,6,,28/04/2020
Qld,1033,12,6,,6,948,29/04/2020
Qld,1033,11,4,,6,,30/04/2020
Qld,1034,10,4,,6,965,1/05/2020
Qld,1035,9,4,,6,976,2/05/2020
Qld,1038,9,4,,6,980,3/05/2020
Qld,1043,9,4,,6,,4/05/2020
Qld,1043,9,4,,6,985,5/05/2020
Qld,1045,8,3,,6,,6/05/2020
Qld,1045,9,3,,6,994,7/05/2020
Qld,1045,9,3,,6,,8/05/2020
Qld,1045,8,3,,6,1019,9/05/2020
Qld,1045,7,3,,6,1021,10/05/2020
Qld,1051,7,3,,6,1027,11/05/2020
Qld,1052,7,3,,6,1028,12/05/2020
Qld,1052,7,3,,6,1030,13/05/2020
Qld,1054,6,3,,6,1031,14/05/2020
Qld,1055,5,3,,6,1036,15/05/2020
Qld,1055,5,2,,6,1037,16/05/2020
Qld,1056,4,1,,6,1038,17/05/2020
Qld,1056,4,1,,6,1038,18/05/2020
Qld,1056,4,1,,6,1038,19/05/2020
Qld,1056,4,1,,6,1038,20/05/2020
Qld,1056,4,1,,6,1038,21/05/2020
Qld,1056,4,1,,6,1038,22/05/2020
Qld,1056,4,1,,6,1038,23/05/2020
Qld,1056,4,1,,6,1038,24/05/2020
Qld,1057,4,1,,6,1039,25/05/2020
Qld,1058,4,1,,6,1044,26/05/2020
Qld,1058,4,1,,6,,27/05/2020
Qld,1058,1,1,,6,,28/05/2020
Qld,1058,1,1,,6,,29/05/2020
Qld,1058,1,1,,6,,30/05/2020
Qld,1058,1,1,,6,,31/05/2020
