vic,Confirmed,Hospitalised,ICU,Ventilated,Deaths,Recovered,Date
Vic,1,,,,0,,25/01/2020
Vic,1,,,,0,,26/01/2020
Vic,1,,,,0,,27/01/2020
Vic,1,,,,0,,28/01/2020
Vic,2,,,,0,,29/01/2020
Vic,3,,,,0,,30/01/2020
Vic,4,,,,0,,31/01/2020
Vic,4,,,,0,,1/02/2020
Vic,4,,,,0,,2/02/2020
Vic,4,,,,0,,3/02/2020
Vic,4,,,,0,,4/02/2020
Vic,4,,,,0,,5/02/2020
Vic,4,,,,0,,6/02/2020
Vic,4,,,,0,,7/02/2020
Vic,4,,,,0,,8/02/2020
Vic,4,,,,0,,9/02/2020
Vic,4,,,,0,,10/02/2020
Vic,4,,,,0,,11/02/2020
Vic,4,,,,0,,12/02/2020
Vic,4,,,,0,,13/02/2020
Vic,4,,,,0,,14/02/2020
Vic,4,,,,0,,15/02/2020
Vic,4,,,,0,,16/02/2020
Vic,4,,,,0,,17/02/2020
Vic,4,,,,0,,18/02/2020
Vic,4,,,,0,,19/02/2020
Vic,4,,,,0,,20/02/2020
Vic,4,,,,0,,21/02/2020
Vic,4,,,,0,,22/02/2020
Vic,4,,,,0,,23/02/2020
Vic,4,,,,0,,24/02/2020
Vic,4,,,,0,,25/02/2020
Vic,4,,,,0,,26/02/2020
Vic,4,,,,0,,27/02/2020
Vic,7,,,,0,,28/02/2020
Vic,7,,,,0,,29/02/2020
Vic,9,,,,0,,1/03/2020
Vic,9,,,,0,,2/03/2020
Vic,10,,,,0,,3/03/2020
Vic,10,,,,0,,4/03/2020
Vic,10,,,,0,,5/03/2020
Vic,11,,,,0,,6/03/2020
Vic,11,,,,0,,7/03/2020
Vic,15,,,,0,,8/03/2020
Vic,18,,,,0,,9/03/2020
Vic,21,,,,0,,10/03/2020
Vic,27,0,,,0,,11/03/2020
Vic,36,0,,,0,,12/03/2020
Vic,49,1,,,0,,13/03/2020
Vic,57,0,,,0,,14/03/2020
Vic,71,5,,,0,,15/03/2020
Vic,94,7,,,0,,16/03/2020
Vic,121,6,,,0,,17/03/2020
Vic,150,7,,,0,28,18/03/2020
Vic,178,6,,,0,39,19/03/2020
Vic,229,5,,,0,51,20/03/2020
Vic,296,6,,,0,70,21/03/2020
Vic,355,6,,,0,97,22/03/2020
Vic,411,12,2,,0,113,23/03/2020
Vic,466,12,2,,0,128,24/03/2020
Vic,520,14,3,,3,,25/03/2020
Vic,574,22,3,,3,172,26/03/2020
Vic,685,21,3,,3,191,27/03/2020
Vic,769,26,4,,4,193,28/03/2020
Vic,821,29,4,,4,248,29/03/2020
Vic,917,29,4,,4,291,30/03/2020
Vic,968,32,6,,4,343,31/03/2020
Vic,1036,36,6,,5,422,1/04/2020
Vic,1085,37,7,,7,476,2/04/2020
Vic,1115,42,10,,8,527,3/04/2020
Vic,1135,47,11,,8,573,4/04/2020
Vic,1158,45,11,,10,620,5/04/2020
Vic,1191,47,13,,11,686,6/04/2020
Vic,1212,45,12,,12,736,7/04/2020
Vic,1228,50,13,,12,806,8/04/2020
Vic,1241,43,13,,13,926,9/04/2020
Vic,1265,44,15,,14,986,10/04/2020
Vic,1268,44,16,,14,1015,11/04/2020
Vic,1281,40,14,,14,1075,12/04/2020
Vic,1291,40,15,,14,1118,13/04/2020
Vic,1299,39,18,,14,1137,14/04/2020
Vic,1301,36,17,,14,,15/04/2020
Vic,1302,32,13,,14,1159,16/04/2020
Vic,1319,30,12,,14,1172,17/04/2020
Vic,1328,29,10,,15,1188,18/04/2020
Vic,1329,28,11,,15,1196,19/04/2020
Vic,1334,28,12,,15,1202,20/04/2020
Vic,1336,29,12,,15,1243,21/04/2020
Vic,1337,27,10,,16,1251,22/04/2020
Vic,1343,27,11,,16,1254,23/04/2020
Vic,1346,24,11,,16,1262,24/04/2020
Vic,1348,21,10,,17,1265,25/04/2020
Vic,1349,23,11,,17,1280,26/04/2020
Vic,1351,23,11,,17,1279,27/04/2020
Vic,1354,18,9,,18,1287,28/04/2020
Vic,1361,18,9,,18,1291,29/04/2020
Vic,1364,16,7,,18,1293,30/04/2020
Vic,1371,12,7,,18,1300,1/05/2020
Vic,1384,12,7,,18,1300,2/05/2020
Vic,1406,11,6,,18,1310,3/05/2020
Vic,1423,12,6,,18,1311,4/05/2020
Vic,1440,8,6,,18,1321,5/05/2020
Vic,1455,8,6,,18,1322,6/05/2020
Vic,1468,8,6,,18,1327,7/05/2020
Vic,1479,7,6,,18,1336,8/05/2020
Vic,1487,7,5,,18,1346,9/05/2020
Vic,1492,7,5,,18,1360,10/05/2020
Vic,1507,8,4,,18,1376,11/05/2020
Vic,1514,9,6,,18,1385,12/05/2020
