Province_State,Confirmed,Hospitalised,ICU,Ventilated,Deaths,Recovered,Date
WA,0,,,,0,,25/01/2020
WA,0,,,,0,,26/01/2020
WA,0,,,,0,,27/01/2020
WA,0,,,,0,,28/01/2020
WA,0,,,,0,,29/01/2020
WA,0,,,,0,,30/01/2020
WA,0,,,,0,,31/01/2020
WA,0,,,,0,,1/02/2020
WA,0,,,,0,,2/02/2020
WA,0,,,,0,,3/02/2020
WA,0,,,,0,,4/02/2020
WA,0,,,,0,,5/02/2020
WA,0,,,,0,,6/02/2020
WA,0,,,,0,,7/02/2020
WA,0,,,,0,,8/02/2020
WA,0,,,,0,,9/02/2020
WA,0,,,,0,,10/02/2020
WA,0,,,,0,,11/02/2020
WA,0,,,,0,,12/02/2020
WA,0,,,,0,,13/02/2020
WA,0,,,,0,,14/02/2020
WA,0,,,,0,,15/02/2020
WA,0,,,,0,,16/02/2020
WA,0,,,,0,,17/02/2020
WA,0,,,,0,,18/02/2020
WA,0,,,,0,,19/02/2020
WA,0,,,,0,,20/02/2020
WA,0,,,,0,,21/02/2020
WA,0,,,,0,,22/02/2020
WA,0,,,,0,,23/02/2020
WA,0,,,,0,,24/02/2020
WA,0,,,,0,,25/02/2020
WA,0,,,,0,,26/02/2020
WA,0,,,,0,,27/02/2020
WA,2,,,,0,,28/02/2020
WA,2,,,,0,,29/02/2020
WA,2,,,,1,,1/03/2020
WA,2,,,,1,,2/03/2020
WA,2,,,,1,,3/03/2020
WA,3,,,,1,,4/03/2020
WA,3,,,,1,,5/03/2020
WA,3,,,,1,,6/03/2020
WA,3,,,,1,,7/03/2020
WA,4,,,,1,,8/03/2020
WA,6,,,,1,,9/03/2020
WA,9,,,,1,,10/03/2020
WA,9,,,,1,,11/03/2020
WA,14,,,,1,,12/03/2020
WA,17,,,,1,,13/03/2020
WA,17,,,,1,,14/03/2020
WA,28,,,,1,,15/03/2020
WA,31,,,,1,,16/03/2020
WA,35,,,,1,,17/03/2020
WA,52,,,,1,,18/03/2020
WA,64,4,,,1,,19/03/2020
WA,90,5,,,1,,20/03/2020
WA,120,7,,,1,,21/03/2020
WA,140,12,,,1,,22/03/2020
WA,175,11,,,1,,23/03/2020
WA,205,,,,1,,24/03/2020
WA,231,,,,1,,25/03/2020
WA,255,13,2,,2,28,26/03/2020
WA,278,14,6,,2,28,27/03/2020
WA,311,20,8,,2,,28/03/2020
WA,355,,,,2,41,29/03/2020
WA,364,54,12,,2,48,30/03/2020
WA,392,54,14,,2,64,31/03/2020
WA,400,56,15,,2,92,1/04/2020
WA,422,56,16,,3,92,2/04/2020
WA,436,58,18,,3,92,3/04/2020
WA,453,59,18,,3,148,4/04/2020
WA,460,58,18,,4,162,5/04/2020
WA,470,54,15,,6,170,6/04/2020
WA,481,34,15,,6,170,7/04/2020
WA,495,34,15,,6,187,8/04/2020
WA,506,34,17,,6,203,9/04/2020
WA,514,39,12,,6,216,10/04/2020
WA,517,38,15,,6,239,11/04/2020
WA,523,38,14,,6,251,12/04/2020
WA,527,32,12,,6,296,13/04/2020
WA,532,33,11,,6,338,14/04/2020
WA,535,33,8,,6,340,15/04/2020
WA,541,34,6,,7,377,16/04/2020
WA,544,33,6,,7,388,17/04/2020
WA,545,28,6,,7,426,18/04/2020
WA,545,27,6,,7,435,19/04/2020
WA,546,26,5,,7,443,20/04/2020
WA,546,25,5,,7,451,21/04/2020
WA,546,24,5,,7,458,22/04/2020
WA,548,20,4,,8,464,23/04/2020
WA,549,16,4,,8,478,24/04/2020
WA,549,16,4,,8,486,25/04/2020
WA,549,16,4,,8,494,26/04/2020
WA,550,16,4,,8,503,27/04/2020
WA,551,14,4,,8,507,28/04/2020
WA,551,13,3,,8,507,29/04/2020
WA,551,11,3,,8,511,30/04/2020
WA,551,8,3,,8,520,1/05/2020
WA,551,8,3,,9,523,2/05/2020
WA,551,7,3,,9,527,3/05/2020
WA,551,7,3,,9,528,4/05/2020
WA,551,7,3,,9,528,5/05/2020
WA,551,6,3,,9,531,6/05/2020
WA,552,4,1,,9,534,7/05/2020
WA,552,4,1,,9,536,8/05/2020
WA,552,4,1,,9,536,9/05/2020
WA,552,4,1,,9,536,10/05/2020
WA,553,2,1,,9,537,11/05/2020
WA,553,1,1,,9,538,12/05/2020
WA,554,1,1,,9,538,13/05/2020
WA,554,0,0,,9,538,14/05/2020
WA,556,1,0,,9,541,15/05/2020
WA,557,1,0,,9,543,16/05/2020
WA,557,1,0,,9,545,17/05/2020
WA,557,1,0,,9,545,18/05/2020
WA,557,0,0,,9,545,19/05/2020
WA,557,0,0,,9,545,20/05/2020
WA,557,0,0,,9,545,21/05/2020
WA,560,0,0,,9,549,22/05/2020
WA,560,0,0,,9,549,23/05/2020
WA,564,0,0,,9,549,24/05/2020
WA,570,0,0,,9,549,25/05/2020
WA,570,0,0,,9,549,26/05/2020
WA,577,0,0,,9,550,27/05/2020
WA,585,0,0,,9,551,28/05/2020
WA,586,0,0,,9,,29/05/2020
WA,589,1,0,,9,,30/05/2020
WA,591,1,0,,9,,31/05/2020
